cuces,total_adjudicado,total_recepcionado,total_referencial
20-0411-00-1081878-1-1,,70850,84500
20-0411-00-1082277-1-1,,50400,52800
20-0411-00-1082298-1-1,,379200,384000
20-0411-00-1084525-1-1,,25000,25000
20-0411-00-1085374-1-1,192600,192600,197738.19
20-0411-00-1085851-2-1,82500,82500,99000
20-0411-00-1089817-1-1,,558900,568100
20-0411-00-1090079-1-1,,30000,37200
20-0411-00-1090125-1-1,,22500,27000
20-0411-00-1090242-1-1,,640000,640000
20-0411-00-1090257-1-1,,1792206,1792206
20-0411-00-1090273-1-1,,33600,33600
20-0411-00-1090275-1-1,,597402,597402
20-0411-00-1090290-1-1,,35840,44710
20-0411-00-1091326-1-1,,20470,21712
20-0411-00-1092735-1-1,,24000,24000
20-0411-00-1093396-1-1,,33000,33000
20-0411-00-1095901-1-1,116312.5,116312.5,149988
20-0417-00-1039219-0-E,65000,65000,
20-0417-00-1039881-0-E,645300,645300,
20-0417-00-1040156-0-E,364650,364650,
20-0417-00-1040163-0-E,150732,150732,
20-0417-00-1041098-0-E,166180,166180,
20-0417-00-1041111-0-E,37500,37500,
20-0417-00-1041149-0-E,860451,860451,
20-0417-00-1042499-0-E,389370,389370,
20-0417-00-1042511-0-E,267074,267074,
20-0417-00-1042889-0-E,501850,501850,
20-0417-00-1042958-0-E,255007.5,255007.5,
20-0417-01-1044550-0-E,40000,40000,
20-0417-01-1048054-0-E,295400,295400,
20-0417-01-1048544-0-E,35000,35000,
20-0417-01-1048555-0-E,50000,50000,
20-0417-01-1049598-0-E,102000,102000,
20-0417-01-1049753-0-E,43000,43000,
20-0417-01-1050150-0-E,80000,80000,
20-0417-01-1050864-0-E,33000,33000,
20-0417-01-1051402-0-E,29388.6,29388.6,
20-0417-01-1052224-0-E,99900,,
20-0417-01-1052230-0-E,40000,40000,
20-0417-01-1073151-1-1,,117000,480000
20-0417-01-1074755-1-1,,226800,879000
20-0417-01-1075912-1-1,,81000,81000
20-0417-01-1075923-1-1,,96000,118400
20-0417-01-1075930-1-1,,178840,178840
20-0417-01-1075939-1-1,,318000,318000
20-0417-01-1075953-1-1,,30000,30000
20-0417-01-1075955-1-1,,105000,105000
20-0417-01-1081964-1-1,,32050,36890
20-0417-01-1088584-1-1,,41475,98000
20-0417-01-1088619-1-1,,42800,42800
20-0417-01-1088832-1-1,,48880,48880
20-0417-01-1088966-1-1,,44580,44580
20-0417-02-1041522-0-E,39050,39050,
20-0417-02-1041801-0-E,30680,30680,
20-0417-02-1043898-0-E,38260,38260,
20-0417-02-1049425-0-E,46486.24,46486.24,
20-0417-02-1049428-0-E,40566.229999999996,40566.229999999996,
20-0417-02-1089943-1-1,,82020,89600
20-0417-02-1090228-1-1,,14250,37500
20-0417-02-1090831-1-1,,32100,55000
20-0417-02-1092634-1-1,,28000,32000
20-0417-02-1093508-1-1,,32000,32000
20-0417-02-1094302-1-1,,298000,298000
20-0417-02-1094796-1-1,,17000,35000
20-0417-03-1039047-0-E,117500,117500,
20-0417-03-1040632-0-E,23312,23312,
20-0417-03-1041354-1-1,600000,,600000
20-0417-03-1043324-0-E,131650,131650,
20-0417-03-1049808-0-E,27170,27170,
20-0417-03-1049860-0-E,191620,191620,
20-0417-03-1051198-0-E,30400,30400,
20-0417-03-1052263-0-E,4500000,4500000,
20-0417-03-1061913-1-1,234000,234000,315000
20-0417-03-1062294-2-1,153081,153081,167843.87999999998
20-0417-03-1062310-1-1,146160,146160,168000
20-0417-03-1063459-1-2,118508,118508,119886
20-0417-03-1071819-1-1,58730,58730,59837
20-0417-03-1077761-1-1,244970,244970,244970
20-0417-04-1035224-1-1,147000,,147000
20-0417-04-1047226-0-E,800000,,
20-0417-04-1047244-0-E,400000,,
20-0417-04-1047247-0-E,300000,,
20-0417-04-1047390-0-E,200000,,
20-0417-04-1059851-1-2,684168,,983000
20-0417-04-1092431-1-1,,55000,55000
20-0417-04-1097097-1-1,,30769.2,30769.2
20-0417-04-1097486-1-1,,1000000,1000000
20-0417-04-1097946-1-1,,30000,30000
20-0417-05-1038692-0-E,36400,36400,
20-0417-05-1040250-0-E,24640,24640,
20-0417-05-1041977-0-E,48750,48750,
20-0417-05-1041993-0-E,27000,27000,
20-0417-05-1043089-0-E,48000,48000,
20-0417-05-1043288-0-E,24000,24000,
20-0417-05-1043826-0-E,22893,22893,
20-0417-05-1046375-0-E,49980,49980,
20-0417-05-1046381-0-E,49980,49980,
20-0417-05-1046385-0-E,49980,49980,
20-0417-05-1046386-0-E,49980,49980,
20-0417-05-1047153-0-E,39000,39000,
20-0417-05-1049209-0-E,49980,49980,
20-0417-05-1051099-1-1,240000,,240000
20-0417-05-1068544-1-1,185600,185600,185600
20-0417-05-1071607-1-1,77993,77993,77993
20-0417-05-1073122-1-1,346900,346900,400000
20-0417-05-1075987-1-1,490200,,834000
20-0417-05-1085274-1-1,,25515,49950
20-0417-05-1086054-1-1,,24750,24750
20-0417-06-1056868-1-1,54000,54000,170000
20-0417-06-1060140-1-3,519600,519600,550000
20-0417-06-1062063-3-1,702076,702076,702076
20-0417-06-1063117-1-1,280000,280000,325000
20-0417-06-1068212-1-1,22960,22960,119000
20-0417-06-1074657-1-1,225000,225000,244200
20-0417-06-1074702-1-1,181690,181690,189900
20-0417-06-1074740-1-1,780000,780000,780000
20-0417-06-1074848-1-1,728000,728000,910000
20-0417-06-1074998-1-1,110235.75,110235.75,110235.75
20-0417-06-1075173-1-1,84500,84500,150000
20-0417-06-1075215-1-1,218750,218750,406250
20-0417-06-1075234-1-1,102680,102680,102680
20-0417-06-1075253-1-1,102680,102680,102680
20-0417-06-1075263-1-1,400000,400000,760000
20-0417-06-1075266-1-1,728000,728000,910000
20-0417-06-1077168-2-1,130000,130000,130000
20-0417-06-1077195-1-1,56000,56000,68000
20-0417-06-1077206-1-1,,21000,21000
20-0417-06-1077227-1-1,,37600,37600
20-0417-06-1077567-1-1,,45900,46000
20-0417-06-1077824-1-1,210000,210000,210000
20-0417-06-1078185-1-1,98000,98000,150000
20-0417-06-1079014-1-1,,40037,40037
20-0417-06-1079020-1-1,,29950,40200
20-0417-06-1079054-1-1,,25000,25000
20-0417-06-1079064-1-1,,22000,22000
20-0417-06-1079071-1-1,,37050,37050
20-0417-06-1082922-1-1,120000,120000,300000
20-0417-06-1082931-1-1,442500,442500,975000
20-0417-06-1082940-1-1,406250,406250,950000
20-0417-06-1083529-1-1,77400,77400,77400
20-0417-06-1083547-1-1,947500,947500,995000
20-0417-06-1083790-1-1,,29000,34000
20-0417-06-1083866-1-1,,49640,49640
20-0417-06-1085129-1-1,,43620,43620
20-0417-06-1085189-1-1,,32000,33000
20-0417-06-1086799-1-1,161110,161110,337700
20-0417-06-1088479-1-1,,37200,37200
20-0417-06-1088533-1-1,,10780,24972
20-0417-06-1089604-1-1,336100,336100,795000
20-0417-06-1091967-1-1,,18285.5,28070
20-0417-06-1092021-1-1,,17500,38000
20-0417-06-1094715-1-1,,36000,45000
20-0417-06-1094741-1-1,,38250,49500
20-0417-06-1094742-1-1,,46995,49975
20-0417-07-1039349-2-1,203000,203000,245000
20-0417-07-1048393-0-E,22870,22870,
20-0417-07-1049985-0-E,3585326.44,3585326.44,
20-0417-07-1051224-0-E,299500,299500,
20-0417-07-1075079-1-1,,224446.46,244446.46
20-0417-07-1076969-1-1,,31250,31250
20-0417-07-1077595-1-1,,95000,95000
20-0417-07-1078116-2-1,48000,48000,97500
20-0417-07-1078374-1-1,,27000,27000
20-0417-07-1078377-1-1,,42000,42000
20-0417-07-1078621-1-1,,30400,30400
20-0417-07-1078645-1-1,,30800,30800
20-0417-07-1078666-1-1,,27500,27500
20-0417-07-1078739-1-1,,40300,41850
20-0417-07-1078759-1-1,,62300,62300
20-0417-07-1080036-1-1,,30420,78000
20-0417-07-1081398-1-1,,30500,31000
20-0417-07-1081413-1-1,,34000,34000
20-0417-07-1082907-1-1,,78000,78000
20-0417-07-1083743-1-1,,22200,24000
20-0417-07-1083770-1-1,,32400,40200
20-0417-07-1083841-1-1,,30000,30000
20-0417-07-1090697-1-1,,75600,75600
20-0417-07-1090751-1-2,,128000,128000
20-0417-07-1090757-1-1,,240000,240000
20-0417-07-1090913-1-1,,32000,32000
20-0417-07-1091594-1-1,,45720,45720
20-0417-07-1092748-1-1,,370000,370000
20-0417-07-1093888-1-1,,302659.63,312701.59
20-0417-07-1094004-1-1,,675182.64,675182.64
20-0417-07-1100636-1-1,,326167.12,326167.12
20-0417-09-1032262-0-E,44000,44000,
20-0417-09-1032544-0-E,36000,36000,
20-0417-09-1033941-0-E,49000,49000,
20-0417-09-1034893-0-E,43000,43000,
20-0417-09-1034965-1-1,235900,235900,235900
20-0417-09-1036241-0-E,49700,49700,
20-0417-09-1039091-2-3,130000,130000,273200
20-0417-09-1042473-0-E,23230,23230,
