cuces,total_adjudicado,total_recepcionado,total_referencial
20-1218-00-1092725-1-1,,37878,37878
20-1218-00-1092927-1-1,,29643,29643
20-1218-00-1095095-1-1,,29370,29370
20-1218-00-1095164-1-1,,42000,42000
20-1218-00-1095515-1-1,,24000,24000
20-1218-00-1100258-1-1,,40020,40020
20-1220-00-1039407-0-E,398112,398112,
20-1221-00-1039367-0-E,536340,536340,
20-1221-00-1039388-0-E,456400,456400,
20-1221-00-1042211-0-E,27796,27796,
20-1221-00-1046301-0-E,45480,45480,
20-1221-00-1047168-0-E,38025,38025,
20-1221-00-1071793-1-1,180040,180040,255150
20-1221-00-1071811-1-1,247800,247800,330600
20-1224-00-1088048-1-1,,24963.03,24963.03
20-1225-00-1047770-0-E,169920,169920,
20-1225-00-1098565-1-1,,27230,27230
20-1225-00-1098578-1-1,,31640,31640
20-1225-00-1098584-1-1,,48500,48500
20-1225-00-1098591-1-1,,21400,21400
20-1225-00-1098598-1-1,,25000,25000
20-1225-00-1098601-1-1,,25000,25000
20-1227-00-1043303-0-E,45000,45000,
20-1227-00-1043361-0-E,25500,25500,
20-1227-00-1044099-0-E,121050,121050,
20-1227-00-1044454-0-E,30000,30000,
20-1227-00-1082271-1-1,,42500,42500
20-1227-00-1095667-1-1,,60810,60810
20-1227-00-1098354-1-1,,44805,44805
20-1227-00-1101859-1-1,,24100,24100
20-1227-00-1102082-1-1,,314920,314920
20-1228-00-1083465-1-1,,49992,49992
20-1228-00-1083995-1-1,,49944,49944
20-1228-00-1084027-1-1,,49985,49985
20-1228-00-1084033-1-1,,49950,49950
20-1228-00-1084045-1-1,,49000,49000
20-1228-00-1084122-1-1,,47019,47019
20-1228-00-1084127-1-1,,47335,47335
20-1228-00-1084134-1-3,,46907,46907
20-1228-00-1084138-1-1,,34100,34100
20-1228-00-1086342-1-1,,34700,34700
20-1228-00-1086361-1-1,,47768,47768
20-1228-00-1086369-1-1,,49934.92,49934.92
20-1228-00-1088910-1-1,,35719,35719
20-1228-00-1091822-1-1,,44609,44609
20-1228-00-1094083-1-1,,30000,30000
20-1228-00-1097686-1-1,,31234,31234
20-1228-00-1099578-1-1,,45455.08,45455.08
20-1228-00-1101712-1-1,,49961.759999999995,49961.759999999995
20-1228-00-1101716-1-1,,46348.24,46348.24
20-1232-00-1041560-0-E,665528,665528,
20-1235-00-1079951-1-1,95268.79,95268.79,107997.73
20-1235-00-1080011-1-1,117569.19,117569.19,119597.1
20-1235-00-1090946-1-1,,49997.86,49997.86
20-1236-00-1045801-0-E,24645,24645,
20-1236-00-1046189-0-E,32451,32451,
20-1236-00-1091898-1-1,,128900,128900
20-1240-00-1069730-1-1,148663,148663,150000
20-1241-00-1074076-1-1,285770,285770,295000
20-1242-00-1101722-1-1,,34700,34700
20-1242-00-1102237-1-1,,34700,34700
20-1243-00-1062906-3-1,79606,79606,90060
20-1243-00-1088400-1-1,,49795,49795
20-1243-00-1096313-1-1,,28200,28200
20-1243-00-1096717-1-1,,32400,32400
20-1243-00-1099144-1-1,,39124,39124
20-1244-00-1091692-1-1,,47544.729999999996,47544.729999999996
20-1245-00-1087719-1-1,,24850,24850
20-1245-00-1087780-1-1,,25098,25098
20-1245-00-1087810-1-1,,34875,34875
20-1245-00-1092605-1-1,,490000,490000
20-1245-00-1094527-1-1,,115667,129503
20-1245-00-1096051-1-1,,129490,129503
20-1245-00-1100344-1-1,,44151.729999999996,44151.729999999996
20-1245-00-1101223-1-1,,86653.67000000001,86653.67000000001
20-1247-00-1048638-0-E,70740,70740,
20-1247-00-1068139-2-1,1075822.9,1075822.9,1077428
20-1247-00-1101624-1-1,,128530,128530
20-1247-00-1102074-1-1,,186730,191990
20-1249-00-1077120-1-1,,51580,51580
20-1250-00-1074068-1-1,119504,,120280
20-1251-00-1063550-1-1,467631,467631,491715
20-1251-00-1100740-1-1,,418296,419000
20-1252-00-1096459-1-1,,,84278
20-1255-00-1047598-0-E,37627,37627,
20-1255-00-1048042-0-E,34105,34105,
20-1255-00-1048075-0-E,46866,46866,
20-1255-00-1048083-0-E,21374,21374,
20-1257-00-1051200-0-E,126154,,
20-1257-00-1060099-2-1,149072,149072,149512
20-1257-00-1094772-1-1,,106000,116000
20-1257-00-1099576-1-1,,149719.5,150000
20-1257-00-1100851-1-1,,46750,51000
20-1257-00-1100919-1-1,,285339.3,372149.3
20-1260-00-1038127-0-E,46501,46501,
20-1260-00-1038134-0-E,46315,46315,
20-1260-00-1038273-0-E,32197.8,32197.8,
20-1260-00-1038583-0-E,47610,47610,
20-1260-00-1038662-0-E,30000,30000,
20-1260-00-1038785-0-E,24561,24561,
20-1260-00-1038798-0-E,350350,350350,
20-1260-00-1039322-0-E,32895.8,32895.8,
20-1260-00-1039331-0-E,47050,47050,
20-1260-00-1040120-0-E,28400,28400,
20-1260-00-1040312-0-E,21729.5,21729.5,
20-1260-00-1041496-0-E,28696,,
20-1260-00-1043114-0-E,49950,49950,
20-1260-00-1044138-0-E,888950,888950,
20-1260-00-1084730-1-1,,29760,29760
20-1260-00-1092704-1-1,,32310,32310
20-1262-00-1041657-0-E,43600,43600,
20-1262-00-1041729-0-E,24000,24000,
20-1262-00-1041737-0-E,21670,,
20-1262-00-1042034-0-E,41470,41470,
20-1262-00-1046408-0-E,37670,37670,
20-1262-00-1046416-0-E,42841,42841,
20-1262-00-1046432-0-E,182084,182084,
20-1262-00-1046448-0-E,194200,194200,
20-1262-00-1090068-1-1,342000,342000,342824
20-1263-00-1075089-1-1,246475.23,246475.23,250130.75
20-1263-00-1075145-1-1,249416.12,249416.12,250130.75
20-1263-00-1075165-1-1,250116.25,250116.25,250130.75
20-1263-00-1080812-1-1,249900,249900,250000
20-1263-00-1083610-1-1,479473,479473,479613
20-1266-00-1039324-0-E,140650,140650,
20-1266-00-1039885-0-E,80370,80370,
20-1266-00-1092098-1-1,,28000,49500
20-1266-00-1098283-1-1,,21000,21000
20-1266-00-1098298-1-1,,89500,89500
20-1266-00-1098302-1-1,,83999,84000
20-1266-00-1098307-1-1,,37500,37500
20-1268-00-1041004-0-E,51500,,
20-1268-00-1041102-0-E,98280,,
20-1271-00-1074150-1-1,156120,156120,156120
20-1271-00-1076138-1-1,427136.6,,428842
20-1272-00-1042495-0-E,38757,38757,
20-1272-00-1087275-1-2,244320,244320,244320
20-1274-00-1045128-0-E,25778,25778,
20-1278-00-1097797-1-1,37035.2,37035.2,149997
20-1279-00-1038904-0-E,34200,34200,
20-1279-00-1044013-0-E,39850,39850,
20-1279-00-1047601-0-E,38010,38010,
20-1279-00-1089134-1-1,,45742.96,49520
20-1279-00-1090099-1-1,,28376.32,28376.32
20-1279-00-1093525-1-1,990000,990000,990000
20-1279-00-1101699-1-1,,36458.5,36458.5
20-1280-00-1047959-0-E,42700,42700,
20-1280-00-1095739-1-1,,35980,35980
20-1280-00-1095781-1-1,,130800,130800
20-1280-00-1095792-1-1,,51297,51297
20-1280-00-1095802-1-1,,431923,431923
20-1280-00-1096673-1-1,116379,116379,117263.4
20-1280-00-1096675-1-1,117138,117138,117138
20-1281-00-1081064-3-1,46813.24,46813.24,52994.4
20-1283-00-1099609-1-1,,226070,226070
20-1284-00-1093564-1-1,94275.4,,94649.8
20-1287-00-1082097-1-1,,39344,39422
20-1301-00-1037577-0-E,49869,49869,
20-1301-00-1037578-0-E,49200,49200,
20-1301-00-1038079-0-E,48990,48990,
20-1301-00-1038446-0-E,488460,,
20-1301-00-1040824-0-E,91000,91000,
20-1301-00-1040940-0-E,40131.2,40131.2,
20-1301-00-1040964-0-E,28500,28500,
20-1301-00-1042277-0-E,33000,,
20-1301-00-1042396-0-E,326549.5,326549.5,
20-1301-00-1042698-0-E,40000,40000,
20-1301-00-1042726-0-E,157625,,
20-1301-00-1044039-0-E,152472.4,,
20-1301-00-1044266-0-E,30000,30000,
20-1301-00-1044324-0-E,70000,,
20-1301-00-1044367-0-E,160000,160000,
20-1301-00-1044420-0-E,239440.08,,
20-1301-00-1044640-0-E,66000,,
20-1301-00-1044652-0-E,620000,,
20-1301-00-1044658-0-E,48000,,
20-1301-00-1044672-0-E,95000,,
20-1301-00-1044693-0-E,214000,,
20-1301-00-1044744-0-E,27360,,
20-1301-00-1044748-0-E,256700,,
20-1301-00-1044750-0-E,54940,,
20-1301-00-1044756-0-E,222400,,
20-1301-00-1044774-0-E,225000,225000,
20-1301-00-1044783-0-E,32475,,
20-1301-00-1044792-0-E,34000,,
20-1301-00-1044796-0-E,142500,142500,
20-1301-00-1044798-0-E,30701.12,30701.12,
20-1301-00-1044804-0-E,100000,,
20-1301-00-1044812-0-E,246660,,
20-1301-00-1044827-0-E,80500,,
20-1301-00-1044832-0-E,120600,,
20-1301-00-1044836-0-E,24000,,
20-1301-00-1044839-0-E,22760,,
20-1301-00-1044844-0-E,54000,,
20-1301-00-1044849-0-E,100000,,
20-1301-00-1044853-0-E,46012,,
20-1301-00-1044858-0-E,178760,,
20-1301-00-1044871-0-E,608400,,
20-1301-00-1044971-0-E,47500,,
20-1301-00-1045147-0-E,59840,,
20-1301-00-1045486-0-E,185550,185550,
20-1301-00-1045991-0-E,30000,30000,
20-1301-00-1046022-0-E,16500,16500,
20-1301-00-1046100-0-E,50500,50500,
20-1301-00-1046205-0-E,660000,660000,
20-1301-00-1046300-0-E,244215,,
20-1301-00-1046441-0-E,222500,222500,
20-1301-00-1046656-0-E,45000,45000,
20-1301-00-1047104-0-E,238000,,
20-1301-00-1047106-0-E,108000,108000,
20-1301-00-1047108-0-E,570912,570912,
20-1301-00-1047249-0-E,450000,,
20-1301-00-1047272-0-E,20300,,
20-1301-00-1047410-0-E,357500,357500,
20-1301-00-1048312-0-E,638550,,
20-1301-00-1048615-0-E,434000,,
20-1301-00-1048628-0-E,216000,,
20-1301-00-1048720-0-E,300000,300000,
20-1301-00-1049253-0-E,152948,,
20-1301-00-1049569-0-E,163000,163000,
20-1301-00-1049654-0-E,375000,375000,
20-1301-00-1049671-0-E,499799,,
20-1301-00-1049685-0-E,995000,,
20-1301-00-1049812-0-E,244650,,
20-1301-00-1049825-0-E,490000,,
20-1301-00-1049853-0-E,1013711,,
20-1301-00-1050046-0-E,103280,,
20-1301-00-1051051-0-E,64000,,
20-1301-00-1051148-0-E,67500,,
20-1301-00-1051154-0-E,225000,225000,
20-1301-00-1051157-0-E,23350,,
20-1301-00-1051162-0-E,817700,,
20-1301-00-1051167-0-E,110000,,
20-1301-00-1051180-0-E,104500,,
20-1301-00-1051184-0-E,39000,39000,
20-1301-00-1051544-0-E,90840,,
20-1301-00-1052041-0-E,83266,,
20-1301-00-1052195-0-E,370000,370000,
20-1301-00-1057932-1-1,49375,49375,100000
20-1301-00-1076384-1-1,44550,44550,56150
20-1301-00-1083048-1-1,,33000,41940
20-1301-00-1083406-1-1,,1300000,1300000
20-1301-00-1083996-1-1,,21000,21000
20-1301-00-1084904-1-1,,3350000,3350000
20-1301-00-1085716-1-1,,49860,49860
20-1301-00-1085743-1-1,,16350,23500
20-1301-00-1085773-1-1,,36000,40000
20-1301-00-1085852-1-1,,42250,43250
20-1301-00-1086179-1-1,,25500,28500
20-1301-00-1086223-1-1,,24300,24600
20-1301-00-1086253-1-1,,96944,96944
20-1301-00-1086286-1-1,,26000,26000
20-1301-00-1086326-1-1,,47000,47000
20-1301-00-1086368-1-1,,50000,50000
20-1301-00-1086383-1-1,,33500,34900
20-1301-00-1086407-1-1,,262500,300000
20-1301-00-1087414-1-1,,133000,133000
20-1301-00-1087426-1-1,,350000,350000
20-1301-00-1087537-1-1,,58100,58100
20-1301-00-1087565-1-1,,220000,220000
20-1301-00-1087608-1-1,,269720,300000
20-1301-00-1087670-1-1,,24840.8,24840.8
20-1301-00-1087699-1-1,,51900,53950
20-1301-00-1087777-1-1,,14150.2,14150.2
20-1301-00-1087795-1-1,,66850,67490
20-1301-00-1088038-1-1,,337190,338000
20-1301-00-1089926-1-1,,196000,196000
20-1301-00-1090654-1-1,,780000,1260000
20-1301-00-1091088-1-1,,35640,35640
20-1301-00-1091109-1-1,,17800,18000
20-1301-00-1091284-1-1,,165000,195000
20-1301-00-1091872-1-1,,24000,25000
20-1301-00-1091887-1-1,,7840,7840
20-1301-00-1091903-1-1,,22600,26000
20-1301-00-1091923-1-1,,,65000
20-1301-00-1092123-1-2,1023674,1023674,2066770
20-1301-00-1092969-1-1,,16600,16600
20-1301-00-1093009-1-1,,67500,67500
20-1301-00-1093025-1-1,,84000,103720
20-1301-00-1093042-1-1,,235530,257700
20-1301-00-1095178-1-1,,38024.8,71520
20-1301-00-1095226-1-1,,15109.56,22503.6
20-1301-00-1095626-1-1,,87799.8,87800
20-1301-00-1100071-1-1,,144000,144000
20-1301-00-1100106-1-1,,542350,800000
20-1301-00-1100618-1-1,,101581.05,101581.05
20-1301-00-1100646-1-1,,998000,998000
20-1301-00-1100674-1-1,,396208,891468
20-1301-00-1100718-1-1,,1350000,1350000
20-1301-00-1102052-1-1,,74500,74500
20-1302-00-1036236-0-E,49580,49580,
20-1302-00-1036469-0-E,25600,25600,
20-1302-00-1037000-0-E,45520,,
20-1302-00-1037747-0-E,49980,49980,
20-1302-00-1038010-0-E,49965,49965,
20-1302-00-1039108-0-E,46620,46620,
20-1302-00-1039323-0-E,49998,49998,
20-1302-00-1039355-0-E,37200,37200,
20-1302-00-1039561-0-E,26000,26000,
20-1302-00-1040126-0-E,49754,49754,
20-1302-00-1042506-0-E,30915,30915,
20-1302-00-1044902-0-E,21000,21000,
20-1302-00-1044906-0-E,28000,28000,
20-1302-00-1046352-0-E,271600,271600,
20-1302-00-1047697-0-E,49500,49500,
20-1302-00-1048039-0-E,487975,487975,
20-1302-00-1048229-0-E,23040,23040,
20-1302-00-1048244-0-E,24578,24578,
20-1302-00-1048802-0-E,120000,120000,
20-1302-00-1048818-0-E,1735708,1735708,
20-1302-00-1049049-0-E,44400,44400,
20-1302-00-1049059-0-E,84250,84250,
20-1302-00-1049065-0-E,85000,85000,
20-1302-00-1049451-0-E,252750,252750,
20-1302-00-1049796-0-E,74868,74868,
20-1302-00-1049894-0-E,204000,204000,
20-1302-00-1050075-0-E,56800,56800,
20-1302-00-1050079-0-E,46800,46800,
20-1302-00-1050242-0-E,35000,35000,
20-1302-00-1051286-0-E,49950,49950,
20-1302-00-1051556-0-E,73090.39,,
20-1302-00-1051576-0-E,230000,230000,
20-1302-00-1051586-0-E,45000,45000,
20-1302-00-1051595-0-E,258450,258450,
20-1302-00-1051626-0-E,26100,26100,
20-1302-00-1051818-0-E,25700,25700,
20-1302-00-1052360-0-E,49500,49500,
20-1302-00-1075737-1-2,,116989,127390
20-1302-00-1078150-1-1,,6600,6600
20-1302-00-1079055-1-1,,143759,163600
20-1302-00-1080005-1-1,,1177270,1177270
20-1302-00-1091145-1-1,,34827.48,40518.5
20-1302-00-1093251-1-1,262600,262600,400000
20-1302-00-1094225-1-1,,40520,40520
20-1302-00-1098148-1-1,,38609.5,38609.5
20-1302-00-1098259-1-1,,244990,252200
20-1302-00-1098374-1-1,,42200,42200
20-1302-00-1098777-1-1,,660000,700000
20-1302-00-1098816-1-1,,195424,207814
20-1302-00-1098839-1-1,,110674,110674
20-1302-00-1098998-1-1,,110000,110000
20-1302-00-1101168-1-1,,97200,97200
20-1303-00-1038561-0-E,39785,39785,
20-1303-00-1039165-0-E,45000,45000,
20-1303-00-1040438-0-E,41675,41675,
20-1303-00-1041808-0-E,28890,28890,
20-1303-00-1041821-0-E,45000,45000,
20-1303-00-1046157-0-E,45100,45100,
20-1303-00-1047149-0-E,21600,21600,
20-1303-00-1047204-0-E,49980,49980,
20-1303-00-1047229-0-E,49650,49650,
20-1304-00-1045710-0-E,21422,21422,
20-1304-00-1049207-0-E,240000,240000,
20-1304-00-1050953-0-E,81000,81000,
20-1304-00-1051533-0-E,671880.5,671880.5,
20-1304-00-1052275-0-E,3600,3600,
20-1304-00-1052598-0-E,52000,52000,
20-1304-00-1052625-0-E,86595,86595,
20-1304-00-1091978-1-1,933024,933024,985672
20-1304-00-1092440-1-1,360000,360000,370000
20-1304-00-1092559-1-1,367967.4,367967.4,369386.4
20-1305-00-1038246-0-E,45000,45000,
20-1305-00-1038255-0-E,46000,46000,
20-1305-00-1038887-0-E,1186400,,
20-1305-00-1040976-0-E,48000,48000,
20-1305-00-1047752-0-E,31020,31020,
20-1305-00-1048606-0-E,48000,48000,
20-1305-00-1049657-0-E,47700,47700,
20-1305-00-1050247-0-E,44277,,
20-1305-00-1051017-0-E,49930,49930,
20-1305-00-1051966-0-E,600000,,
20-1305-00-1098038-1-1,,,518010
20-1305-00-1098056-1-1,,83955,135935
20-1306-00-1039137-0-E,69300,69300,
20-1306-00-1039302-0-E,49973,49973,
20-1306-00-1039682-0-E,171140,171140,
20-1306-00-1039686-0-E,55000,55000,
20-1306-00-1040448-0-E,126350,126350,
20-1306-00-1040607-0-E,49800,49800,
20-1306-00-1040678-0-E,48000,48000,
20-1306-00-1043587-0-E,39604.77,39604.77,
20-1306-00-1044118-0-E,25376,25376,
20-1306-00-1046696-0-E,46250,46250,
20-1306-00-1048395-0-E,27600,27600,
20-1306-00-1048567-0-E,38150,38150,
20-1306-00-1048929-0-E,47300,47300,
20-1306-00-1049697-0-E,48900,48900,
20-1306-00-1049704-0-E,39950,39950,
20-1306-00-1050355-0-E,47135,47135,
20-1306-00-1050365-0-E,24655,24655,
20-1306-00-1050446-0-E,40351,40351,
20-1306-00-1051435-0-E,27000,27000,
20-1306-00-1051502-0-E,47135,47135,
20-1306-00-1056240-1-1,271500,271500,275000
20-1306-00-1060807-1-1,584500,584500,983342
20-1306-00-1060868-1-1,153340,153340,393325
20-1306-00-1063862-1-2,804251,804251,930800
20-1306-00-1064138-1-1,551304.41,551304.41,1076733.1600000001
20-1306-00-1074461-1-1,502228,502228,525428.75
20-1306-00-1083092-1-2,,3267536,3541666.8
20-1306-00-1084548-1-1,,42500,50000
20-1306-00-1087800-1-1,403000,403000,403000
20-1306-00-1088781-1-1,66100,76000,95700
20-1307-00-1052097-1-1,67450,67450,198779.47999999998
20-1307-00-1053563-1-1,155540,155540,199980
20-1307-00-1053849-1-1,81760,81760,150000
20-1307-00-1054374-1-1,73040,73040,73040
20-1307-00-1056670-1-1,148800,148800,926800
20-1307-00-1068707-1-2,719635,719635,803020
20-1309-00-1058892-1-2,94605,100170,99960
20-1310-00-1039773-0-E,49990,49990,
20-1310-00-1039798-0-E,37500,37500,
20-1310-00-1039801-0-E,48010,48010,
20-1310-00-1039891-0-E,42000,42000,
20-1310-00-1048302-0-E,49992,49992,
20-1310-00-1051100-0-E,49840,49840,
20-1310-00-1080793-1-1,528960,528960,528960
20-1310-00-1083475-1-1,,240000,240000
20-1311-00-1048629-0-E,37860,37860,
20-1311-00-1083294-1-1,237420,237420,250000
20-1311-00-1083555-1-1,369625,369625,419440
20-1311-00-1096540-1-1,,33600,33600
20-1312-00-1036342-0-E,36990,36990,
20-1312-00-1037166-1-2,112000,112000,112000
20-1312-00-1038592-0-E,49940,49940,
20-1312-00-1038597-0-E,39410,39410,
20-1312-00-1038605-0-E,99960,99960,
20-1312-00-1039752-0-E,102000,102000,
20-1312-00-1039858-0-E,111200,5310.8,
20-1312-00-1039978-0-E,63440,63440,
20-1312-00-1040028-0-E,96600,96600,
20-1312-00-1040034-0-E,49937.5,47375,
20-1312-00-1040417-0-E,187500,187500,
20-1312-00-1040465-0-E,67500,67500,
20-1312-00-1040473-0-E,21340,21340,
20-1312-00-1040647-0-E,21960,21960,
20-1312-00-1040690-0-E,21600,21600,
20-1312-00-1040748-0-E,24000,24000,
20-1312-00-1040943-0-E,24000,24000,
20-1312-00-1040952-0-E,287038,287038,
20-1312-00-1040955-0-E,58280,58280,
20-1312-00-1040961-0-E,472800,472800,
20-1312-00-1040965-0-E,49200,49200,
20-1312-00-1041292-0-E,66616.6,,
20-1312-00-1041305-0-E,48116,48116,
20-1312-00-1041306-0-E,394800,394800,
20-1312-00-1041320-0-E,49150,49150,
20-1312-00-1041326-0-E,107180,107180,
20-1312-00-1041871-0-E,28500,28500,
20-1312-00-1043028-0-E,46885,46885,
20-1312-00-1044666-0-E,74000,74000,
20-1312-00-1044975-0-E,46524,46524,
20-1312-00-1045412-1-2,168680,,204920
20-1312-00-1045467-0-E,81208.5,81208.5,
20-1312-00-1046260-0-E,72600,137850,
20-1312-00-1048707-0-E,60060,60060,
20-1312-00-1049200-0-E,115000,115000,
20-1312-00-1049624-0-E,41520,41520,
20-1312-00-1049780-0-E,48590,48590,
20-1312-00-1050747-0-E,37000,37000,
20-1312-00-1051509-0-E,26000,26000,
20-1312-00-1052016-0-E,38850,38850,
20-1312-00-1052368-0-E,29640,29640,
20-1312-00-1052600-0-E,46834.92,,
20-1312-00-1056714-1-1,404543.83999999997,404543.83999999997,499929.64999999997
20-1312-00-1088644-1-1,,806561.25,806561.25
20-1312-00-1089187-1-1,125595,125595,125595
20-1312-00-1090552-1-1,,40962.5,42375
20-1312-00-1092328-1-1,,292577.03,348849.23000000004
20-1312-00-1092390-1-1,,652430.39,945599.8500000001
20-1312-00-1096736-1-1,,280246,294560
20-1312-00-1097186-1-1,,633699.9500000001,876853.3500000001
20-1312-00-1097567-1-1,,26965,26965
20-1312-00-1097682-1-1,,229943,400293
20-1312-00-1097726-1-1,,45207,45207
20-1312-00-1099345-1-1,,284894,285231
20-1313-00-1047071-0-E,347497,347497,
20-1313-00-1047098-0-E,220665,220665,
20-1313-00-1078469-1-1,,119966,119966
20-1313-00-1078473-1-1,,250838,250838
20-1313-00-1078475-1-1,,579999.06,573127.89
20-1314-00-1043847-0-E,48300,48300,
20-1314-00-1043886-0-E,26700,26700,
20-1314-00-1043961-0-E,24000,24000,
20-1314-00-1044059-0-E,25225,25225,
20-1314-00-1044086-0-E,28000,28000,
20-1314-00-1076445-1-2,,489816.05,534466
20-1314-00-1093367-1-1,,34200,34200
20-1314-00-1099522-1-1,,42600,42600
20-1314-00-1100091-1-1,,150540,154250
20-1314-00-1100689-1-1,,94608,95213
20-1315-00-1038792-0-E,831000,831000,
20-1315-00-1038808-0-E,141000,141000,
20-1315-00-1039769-0-E,24500,24500,
20-1315-00-1039774-0-E,28280,28280,
20-1315-00-1040471-0-E,28750,28750,
20-1315-00-1040476-0-E,27500,27500,
20-1315-00-1040605-0-E,115900,115900,
20-1315-00-1040617-0-E,171100,171100,
20-1315-00-1040635-0-E,47200,47200,
20-1315-00-1040970-0-E,91500,91500,
20-1315-00-1042881-0-E,245700,,
20-1315-00-1043187-0-E,30053,30053,
20-1315-00-1044130-0-E,149997,,
20-1315-00-1044974-0-E,73704.5,,
20-1315-00-1049236-0-E,22250,,
20-1315-00-1049247-0-E,45000,,
20-1316-00-1054170-1-1,110340,110340,120000
20-1316-00-1055996-1-1,84946.16,84946.16,199989.66
20-1316-00-1066156-1-1,198985.15,198985.15,200000
20-1316-00-1066159-1-1,198985.15,198985.15,200000
20-1316-00-1075991-1-1,141280,141280,250000
20-1316-00-1083596-1-1,40936,40936,64514
20-1316-00-1096743-1-1,,43688,49694
20-1317-00-1040114-0-E,26260,26260,
20-1317-00-1041585-0-E,159120,159120,
20-1317-00-1041739-0-E,38500,38500,
20-1317-00-1054086-1-1,110935,110935,120000
20-1319-00-1061307-1-1,40888.39,40888.39,119999.5
20-1319-00-1081122-1-1,146039,146039,392050
20-1320-00-1046198-0-E,71500,71500,
20-1320-00-1047918-0-E,20970,20970,
20-1320-00-1051155-0-E,25900,25900,
20-1320-00-1051176-0-E,28790,28790,
20-1322-00-1041959-0-E,150750,150750,
20-1322-00-1042020-0-E,149950,149950,
20-1322-00-1051625-0-E,20880,20880,
20-1322-00-1059342-1-1,64748.719999999994,64748.719999999994,150000
20-1322-00-1065675-1-1,72814,72814,85215
20-1322-00-1076479-1-1,,1154938,1405023
20-1322-00-1088461-1-1,,250085,250085
20-1322-00-1092654-1-1,,418296,418296
20-1322-00-1098672-1-1,121200,121200,181200
20-1323-00-1087997-1-1,418296,418296,450000
20-1324-00-1039785-0-E,28975,28975,
20-1324-00-1043951-0-E,27090,27090,
20-1324-00-1045452-0-E,23000,23000,
20-1324-00-1045895-0-E,23000,23000,
20-1324-00-1045899-0-E,23000,23000,
20-1324-00-1046098-0-E,24350,24350,
20-1324-00-1046428-0-E,36770,36770,
20-1324-00-1046502-0-E,22050,22050,
20-1324-00-1083134-1-1,,50050,63500
20-1324-00-1087109-1-1,,1325709,1377360
20-1324-00-1089245-1-1,,30400,70000
20-1324-00-1090203-1-1,,44764.2,45912
20-1324-00-1091598-1-1,,34500,44850
20-1324-00-1092022-1-1,,118272,118272
20-1324-00-1096988-1-1,,85000,85000
20-1325-00-1056582-1-1,101334,101334,120000
20-1325-00-1081268-1-1,157260,157260,157260
20-1325-00-1086008-1-1,250853,250853,325150
20-1325-00-1086014-1-1,,315725.9,315725.9
20-1325-00-1095315-1-1,100280,100280,100960
20-1325-00-1096586-1-1,,28000,35000
20-1325-00-1097228-1-1,,50000,50000
20-1326-00-1053568-2-1,281691.09,281691.09,282856.2
20-1326-00-1054054-1-1,35000,35000,60000
20-1326-00-1083072-1-1,94376,94376,117260
20-1327-00-1047559-0-E,25400,25400,
20-1327-00-1056539-1-1,41170.8,41170.8,333675.8
20-1327-00-1060083-1-2,748100,748100,1099500
20-1327-00-1065778-1-1,87130,87130,126600
20-1327-00-1079503-1-2,158290,158290,236020
20-1328-00-1062783-1-1,95390.5,95390.5,120000
20-1328-00-1066963-1-1,49258,49258,203589
20-1328-00-1067585-1-1,324003.87,324003.87,355620.59
20-1328-00-1067654-1-1,322742.63999999996,322742.63999999996,354379.41000000003
20-1328-00-1074502-1-1,254446.28,254446.28,254464.8
20-1328-00-1080548-1-1,33475,33475,132755
20-1329-00-1077246-1-1,,457388.89,457388.89
20-1329-00-1086740-1-1,,159885,159885
20-1329-00-1100783-1-1,,143775,143775
20-1330-00-1082763-1-1,791033,791033,815906
20-1331-00-1040706-0-E,115018,115018,
20-1331-00-1075685-1-1,23831,23831,53700
20-1331-00-1080629-1-1,147114.99,147114.99,163740.87
20-1331-00-1081731-1-1,535180,535180,650000
20-1331-00-1090311-1-1,70300,70300,115000
20-1334-00-1052442-0-E,265853,,
20-1334-00-1052923-1-2,130200,130200,150000
20-1334-00-1057982-1-1,51200,51200,124800
20-1334-00-1057982-2-1,14400,14400,73600
20-1334-00-1074269-1-1,505271,505271,752250
20-1334-00-1074269-2-1,77271,77271,214040
20-1334-00-1093051-1-1,,22430,42950
20-1334-00-1098024-1-1,75172.75,75172.75,77205.85
20-1335-00-1041095-0-E,50000,50000,
20-1335-00-1044075-0-E,22950,22950,
20-1335-00-1051065-0-E,49954,49954,
20-1335-00-1092302-1-2,,45882,49500
20-1335-00-1098784-1-1,,49461,49461
20-1336-00-1039138-0-E,52450,52450,
20-1336-00-1039179-0-E,48000,48000,
20-1336-00-1094706-1-1,,240000,240000
20-1336-00-1096897-1-2,,74600.5,75075
20-1337-00-1065288-1-1,100020,100020,119200
20-1338-00-1064029-1-1,156000,156000,165390
20-1338-00-1064387-1-1,372300,372300,375030
20-1338-00-1083679-1-1,184585,184585,187891
20-1338-00-1087559-1-1,548858.7,548858.7,551740.97
20-1338-00-1093942-1-1,122955,122955,123460
20-1338-00-1094118-1-1,183513,183513,187935
20-1339-00-1096631-1-1,,49852.3,49852.3
20-1341-00-1057541-1-1,73370,73370,150000
20-1341-00-1057953-1-1,305418,305418,509726
20-1341-00-1060757-1-1,247505,247505,321769
20-1341-00-1070053-1-1,54000,54000,54850
20-1341-00-1070330-1-1,67069.4,67069.4,71500
20-1341-00-1095106-1-1,102200,102200,102200
20-1342-00-1038626-0-E,33040,33040,
20-1342-00-1049449-0-E,40716,40716,
20-1342-00-1049493-0-E,23464,23464,
